Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
The Peel District School Board - We Welcome the World Malton,https://www.peelschools.org/welcome-centres,3131 Morning Star Drive,"English, French, Arabic, Bengali, Cantonese, Dari, Farsi (Persian), German, Greek, Hindi, Korean, Pashto, Persian, Polish, Punjabi, Russian, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Services available online', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=3131%20Morning%20Star%20Drive%20%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL4T 1X3Telephone: 905-890-1010Languages of service: English, French, Arabic, Bengali, Cantonese, Dari, Farsi (Persian), German, Greek, Hindi, Korean, Pashto, Persian, Polish, Punjabi, Russian, Ukrainian, Urdu/General settlement helpGet a settlement planServices available onlineServices for childrenServices for youth"
The Peel District School Board - We Welcome the World Mississauga,https://www.peelschools.org/welcome-centres,2021 Dundas Street West,"English, French, Arabic, Chinese, Dari, Farsi (Persian), Korean, Marathi, Pashto, Persian, Polish, Punjabi, Russian","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=2021%20Dundas%20Street%20West%20%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5K 1R2Telephone: 905-890-1010Languages of service: English, French, Arabic, Chinese, Dari, Farsi (Persian), Korean, Marathi, Pashto, Persian, Polish, Punjabi, Russian/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for childrenServices for youth"
The Peel District School Board - Online English instruction,https://www.peelschools.org/linc,learnESL@peelsb.com,"English, French","['Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Job-specific language training']",mailto:learnESL@peelsb.com,"Mississauga, OntarioTelephone: 905-270-6000Languages of service: English, French/Help preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingJob-specific language training"
The Regional Municipality of Halton,https://www.halton.ca/For-Residents/Employment-and-Financial-Assistance/Employment-Halton/Halton-Connects,1151 Bronte Road,English,"['Get a settlement plan', 'Help connecting with the local community', 'Services available online']",http://maps.google.com/maps?q=1151%20Bronte%20Road%20%20Oakville%20Ontario%20Canada,"Oakville, OntarioL6M 3L1Telephone: 905-825-6000Languages of service: English/Get a settlement planHelp connecting with the local communityServices available online"
The Saint John Multicultural and Newcomer Resource Centre Inc. - Centre des Nouveaux Arriivants de Saint-Jean,https://sjnewcomers.ca/fr/,"75 Prince William Street, Suite 100",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for children', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=75%20Prince%20William%20Street%2C%20Suite%20100%20Saint%20John%20New%20Brunswick%20Canada,"Saint John, New BrunswickE2L 2B2Telephone: 506-642-4242Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for childrenServices for seniorsServices for French speakersServices for refugeesServices for people experiencing gender-based violence"
The Saint John Multicultural and Newcomer Resource Centre Inc. - Centre Scolaire Samuel de Champlain,https://sjnewcomers.ca/fr/,67 Ragged Point Road,French,"['Help connecting with the local community', 'Services available online', 'Services for children']",http://maps.google.com/maps?q=67%20Ragged%20Point%20Road%20%20Saint%20John%20New%20Brunswick%20Canada,"Saint John, New BrunswickE2K 5C3Telephone: 506-977-3661Languages of service: French/Help connecting with the local communityServices available onlineServices for children"
The Salvation Army - Barbara Mitchell Family Resource Centre - Barbara Mitchell Family Resource Centre,https://www.leepwinnipeg.com/,51 Morrow Avenue,English,"['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=51%20Morrow%20Avenue%20%20Winnipeg%20Manitoba%20Canada,"Winnipeg, ManitobaR2M 1A5Telephone: 204-297-5833Languages of service: English/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for youthServices for refugees"
The SPEC Association for Children and Families - Christ the King Academy,https://christtheking.redeemer.ab.ca/,swis@spec.ab.ca,English,"['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Informal language learning', 'Services for children']",mailto:swis@spec.ab.ca,"Brooks, AlbertaTelephone: 403-362-4767Languages of service: English/General settlement helpGet a settlement planHelp connecting with the local communityInformal language learningServices for children"
The SPEC Association for Children and Families - Client's house,https://www.spec.ab.ca,hippy@spec.ab.ca,English,"['Help connecting with the local community', 'Informal language learning', 'Services for children', 'Services for women']",mailto:hippy@spec.ab.ca,"Brooks, AlbertaTelephone: 403-501-5556Languages of service: English/Help connecting with the local communityInformal language learningServices for childrenServices for women"
The SPEC Association for Children and Families - Holy Family Academy,https://holyfamily.redeemer.ab.ca/,swis@spec.ab.ca,English,"['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Informal language learning', 'Services for children']",mailto:swis@spec.ab.ca,"Brooks, AlbertaTelephone: 403-362-8001Languages of service: English/General settlement helpGet a settlement planHelp connecting with the local communityInformal language learningServices for children"
The SPEC Association for Children and Families - St. Joseph's Collegiate,https://stjosephs.redeemer.ab.ca/,swis@spec.ab.ca,English,"['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth']",mailto:swis@spec.ab.ca,"Brooks, AlbertaTelephone: 403-362-5989Languages of service: English/General settlement helpGet a settlement planHelp connecting with the local communityHelp finding a jobInformal language learningServices for childrenServices for youth"
The SPEC Association for Children and Families - The SPEC Association For Children & Families,https://www.spec.ab.ca,327 3rd Street West,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women']",http://maps.google.com/maps?q=327%203rd%20Street%20West%20%20Brooks%20Alberta%20Canada,"Brooks, AlbertaT1R 0E7Telephone: 403-501-5556Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobInformal language learningServices for childrenServices for youthServices for women"
The Vietnamese Community Centre of Mississauga - Vietnamese Community Center of Mississauga,https://cdvnmississauga.org/,"600 Lakeshore Road East, Units 2-6","English, French, Arabic, Malayalam, Polish, Punjabi, Tigrigna, Urdu, Vietnamese","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'General language training', 'Services for children']",http://maps.google.com/maps?q=600%20Lakeshore%20Road%20East%2C%20Units%202-6%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5G 1J4Telephone: 905-891-3825Languages of service: English, French, Arabic, Malayalam, Polish, Punjabi, Tigrigna, Urdu, Vietnamese/General settlement helpGet a settlement planHelp connecting with the local communityGeneral language trainingServices for children"
The Windsor Women Working With Immigrant Women,https://www.wwwwiw.org,"1368 Ouellette Avenue, Apt 100",English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for seniors']",http://maps.google.com/maps?q=1368%20Ouellette%20Avenue%2C%20Apt%20100%20Windsor%20Ontario%20Canada,"Windsor, OntarioN8X 1J9Telephone: 519-973-5588Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for seniors"
The Winnipeg School Division - Kensington Building,https://www.winnipegsd.ca/winnipegadultedcentre/page/6324/adult-eal-program,"275 Portage Avenue, Unit 810",English,['General language training'],http://maps.google.com/maps?q=275%20Portage%20Avenue%2C%20Unit%20810%20Winnipeg%20Manitoba%20Canada,"Winnipeg, ManitobaR3B 2B3Telephone: 204-953-1070Languages of service: English/General language training"
The YMCA of Greater Vancouver - Robert Lee YMCA,https://www.gv.ymca.ca,"955 Burrard Street, Floor 2","English, French, Arabic, Armenian, Azeri, Chinese - Simplified (translation only), Farsi (Persian), Persian, Russian, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Job-specific language training', 'Informal language learning', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=955%20Burrard%20Street%2C%20Floor%202%20Vancouver%20British%20Columbia%20Canada,"Vancouver, British ColumbiaV6Z 1Y2Telephone: 604-685-8066Languages of service: English, French, Arabic, Armenian, Azeri, Chinese - Simplified (translation only), Farsi (Persian), Persian, Russian, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionJob-specific language trainingInformal language learningServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
The Young Men's Christian Association of Edmonton - Clearwater Community YMCA,https://ymcanab.ca/programs/immigrants-newcomers,"200 - 9401 Franklin Avenue, Unit 200","English, Amharic, Arabic, Hindi, Kinyarwanda, Luganda, Runyankole, Serbian, Somali, Spanish, Swahili, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for children', 'Services for youth', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=200%20-%209401%20Franklin%20Avenue%2C%20Unit%20200%20Fort%20McMurray%20Alberta%20Canada,"Fort McMurray, AlbertaT9H 3Z7Telephone: 780-791-1115Languages of service: English, Amharic, Arabic, Hindi, Kinyarwanda, Luganda, Runyankole, Serbian, Somali, Spanish, Swahili, Ukrainian, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for childrenServices for youthServices for womenServices for refugees"
The Young Women's Christian Association (YWCA Hamilton) - Munar Learning Centre,https://munarlearningcenters.ca/,"225 King William Street, Suite 106","English, Arabic, Somali","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services for women']",http://maps.google.com/maps?q=225%20King%20William%20Street%2C%20Suite%20106%20Hamilton%20Ontario%20Canada,"Hamilton, OntarioL8R 1B1Telephone: 905-529-6555Languages of service: English, Arabic, Somali/General settlement helpGet a settlement planHelp connecting with the local communityServices for women"
The Young Women's Christian Association (YWCA Hamilton) - YWCA Hamilton,https://www.ywcahamilton.org/join/,75 MacNab Street South,"Afghan, Arabic, Farsi (Persian), Hindi, Pashto, Persian, Punjabi, Russian, Somali, Spanish, Ukrainian, Urdu, Yoruba","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for youth', 'Services for women', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=75%20MacNab%20Street%20South%20%20Hamilton%20Ontario%20Canada,"Hamilton, OntarioL8P 3C1Telephone: 905-522-9922Languages of service: Afghan, Arabic, Farsi (Persian), Hindi, Pashto, Persian, Punjabi, Russian, Somali, Spanish, Ukrainian, Urdu, Yoruba/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for youthServices for womenServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.thunderbay.org/,17 Court Street North,"English, French, Afghan, Amharic, Arabic, Bengali, Burmese, Dari, Finnish, German, Gujarati, Hindi, Karen, Pashto, Punjabi, Spanish, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=17%20Court%20Street%20North%20Thunder%20Bay%20Ontario%20Canada,"Thunder Bay, OntarioP7A 4T4Telephone: 807-345-0551Languages of service: English, French, Afghan, Amharic, Arabic, Bengali, Burmese, Dari, Finnish, German, Gujarati, Hindi, Karen, Pashto, Punjabi, Spanish, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://kenoramulticultural.ca/,makd@kmts.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:makd@kmts.ca,"Thunder Bay, OntarioTelephone: 807-468-7140Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://kenoramulticultural.ca/,makd@kmts.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:makd@kmts.ca,"Thunder Bay, OntarioTelephone: 807-468-7140Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://adsbadulted.com/locations/northland/,sonntas@adsb.on.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:sonntas@adsb.on.ca,"Thunder Bay, OntarioTelephone: 705-945-7109Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://saultcareercentre.ca/,Gabriela.Sodies-Heydrich@saultcareercentre.ca <gabriela.sodies-heydrich@saultcareercentre.ca>,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:Gabriela.Sodies-Heydrich@saultcareercentre.ca <gabriela.sodies-heydrich@saultcareercentre.ca>,"Thunder Bay, OntarioTelephone: 705-759-0909Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.ymcaneo.ca/contact-us/,communications@ymcaneo.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:communications@ymcaneo.ca,"Thunder Bay, OntarioTelephone: 705-674-8315Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.wawa-adultlearningcentre.com/,bmelbourne.nalcwawa@gmail.com,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:bmelbourne.nalcwawa@gmail.com,"Thunder Bay, OntarioTelephone: 705-856-4394Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.atikokanliteracy.com,atikokan.literacy@gmail.com,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:atikokan.literacy@gmail.com,"Thunder Bay, OntarioTelephone: 807-597-1242Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.vala.ca/,kim_vala03@hotmail.com,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:kim_vala03@hotmail.com,"Hamilton, OntarioTelephone: 807-274-3553Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://bridgeslbs.ca,bridges@drytel.net,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:bridges@drytel.net,"Thunder Bay, OntarioTelephone: 807-223-6786Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.nbdmc.ca/,info@nbdmc.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:info@nbdmc.ca,"Thunder Bay, OntarioTelephone: 705-495-8931Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://ymcaofsimcoemuskoka.ca/,hello@sm.ymca.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:hello@sm.ymca.ca,"Thunder Bay, OntarioTelephone: 705-746-8480Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.ymcaneo.ca/,communications@ymcaneo.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:communications@ymcaneo.ca,"Thunder Bay, OntarioTelephone: 705-674-2324Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://collegeboreal.ca/en/,leika.sutcliffe@collegeboreal.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:leika.sutcliffe@collegeboreal.ca,"Thunder Bay, OntarioTelephone: 800-361-6673Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://www.timminsmulticultural.ca/,info@timminsmulticultural.ca,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:info@timminsmulticultural.ca,"Thunder Bay, OntarioTelephone: 705-269-8622Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association,https://yesnorthbay.com/about/,ask@yesnorthbay.com,English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",mailto:ask@yesnorthbay.com,"Thunder Bay, OntarioTelephone: 705-476-3234Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
Thunder Bay Multicultural Association - The Kenora Multicultural Association,https://www.kenoramulticultural.ca,136 Main Street South,"English, Mandarin","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=136%20Main%20Street%20South%20%20Kenora%20Ontario%20Canada,"Kenora, OntarioP9N 1S9Telephone: 807-468-7140Languages of service: English, Mandarin/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
TNO - The Neighbourhood Organization - Crescent Town Club,https://tno-toronto.org/,2A The Market Place,"English, French, Arabic, Armenian, Bengali, Cantonese, Dari, Farsi (Persian), Gujarati, Hindi, Hungarian, Kacchi, Korean, Mandarin, Pashto, Punjabi, Russian, Spanish, Tagalog, Tamil, Tigrigna, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for 2SLGBTQI+']",http://maps.google.com/maps?q=2A%20The%20Market%20Place%20%20East%20York%20Ontario%20Canada,"East York, OntarioM4C 5M1Telephone: 416-690-6385Languages of service: English, French, Arabic, Armenian, Bengali, Cantonese, Dari, Farsi (Persian), Gujarati, Hindi, Hungarian, Kacchi, Korean, Mandarin, Pashto, Punjabi, Russian, Spanish, Tagalog, Tamil, Tigrigna, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for youthServices for womenServices for seniorsServices for 2SLGBTQI+"
TNO - The Neighbourhood Organization - St. James Town Community Corner,https://tno-toronto.org/,200 Wellesley Street East,"English, French, Arabic, Armenian, Bengali, Cantonese, Dari, Farsi (Persian), Gujarati, Hindi, Hungarian, Kacchi, Korean, Mandarin, Pashto, Punjabi, Russian, Spanish, Tagalog, Tamil, Tigrigna, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for 2SLGBTQI+']",http://maps.google.com/maps?q=200%20Wellesley%20Street%20East%20%20Toronto%20Ontario%20Canada,"Toronto, OntarioM4X 1G3Telephone: 416-964-6657Languages of service: English, French, Arabic, Armenian, Bengali, Cantonese, Dari, Farsi (Persian), Gujarati, Hindi, Hungarian, Kacchi, Korean, Mandarin, Pashto, Punjabi, Russian, Spanish, Tagalog, Tamil, Tigrigna, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for youthServices for womenServices for seniorsServices for 2SLGBTQI+"
